player_id,variant,seat_count,amount_won,hands_played,rn
NHT9cvmhikw750EyRkAK+w,100,9,3662.31,9427,3
9kGpt+XUpavowCzDUv23cw,100,9,2772.38,8786,4
01xUGd6fhoD4aE8UMeQ+GQ,100,9,2587.65,10099,5
YE5oUn0m8HdXd0a7pfK5gQ,100,9,2397.6,9995,6
WrcgVJotoWe5p7+ODVlVug,100,9,2092.84,5472,7
OJ3Z07WfjjEd7s/xOXIsQw,100,9,2010.74,12805,8
WR5BSjD6jUaU/khzS0miag,100,9,1967.98,109,9
OMJChWm0pmP27zHthix1XA,100,9,1876.21,1429,10
ve5KuRkewld4GeqrKt+hVQ,200,6,57222.52,26267,1
1r5nAZ6ifqlIYHr4V4dtww,200,6,42424.63,31559,2
FvjmXM8L0rWcIX/eKMbICQ,200,6,36257.14,13772,3
qkckw7KxIcAOD3j79NCaJQ,200,6,33734.07,16017,4
38ZGajKtC2UkCagCoHHgvA,200,6,33121.77,46163,5
VT2rW3a4gE6htzh0Vdb/3Q,200,6,29665.34,7970,6
fVRsyMLqteGR0ssVXg3wyA,200,6,27940.26,8080,7
z+E5Xr4Fqk2fgutUkZycfA,200,6,25750.44,15850,8
SQhMIkcJyDoP7+aqkCr+tQ,200,6,25592.74,12600,9
CjhpvSjYR81BDa1HAuFTng,200,6,17425.03,8246,10
7DjPMAL/rXWAxq0C9fWE2w,200,9,14406.99,19413,1
01xUGd6fhoD4aE8UMeQ+GQ,200,9,12758.17,21211,2
6CS40Jj01qDx4WX7JiKp6g,200,9,9566.09,18806,3
I4QYVu4WNHKJRuCvb/1Sgg,200,9,7129.48,7492,4
uUNobN9WzsNUnb7HUsIkLg,200,9,7101.94,10446,5
T3VqZVUozc40vBQZV2oSlQ,200,9,6757.11,19322,6
sRl84M+sTvF5wQrLUVnLUQ,200,9,6416.57,5139,7
9kGpt+XUpavowCzDUv23cw,200,9,6247.34,10494,8
OnO+tCjEm7Afqj6L5Ojfvg,200,9,5512.17,23080,9
CDetvT4g6S8jOSWgtzSf7g,200,9,4152.1,8185,10
FX2SR7D9AhXrEL/20URPTQ,300,6,211.5,1,1
Pi3vmdY6tK6J6dJWaninAg,300,6,140.5,1,2
RnsUi0RNalEXfZ0TL2sh3A,300,6,111.0,1,3
5wlHOQSzozMdDxUOJcC8tg,300,6,72.0,1,4
e87twlLdUTYhtTmkhG2qlg,300,6,40.5,1,5
aub8QkSkdHbrwIkzBSWerg,300,6,31.5,1,6
aLwba047bm+m0PqMckTqTw,300,6,22.5,1,7
9peOgjQNVdxN3OLciXzpPg,300,6,15.0,2,8
QvsYgWeakpWo3Prr8bdkkA,300,6,10.5,1,9
rVYvkTek+C5kjytptQN5YA,300,6,7.5,1,10
kRxaO7e26vvJjaK3dfKLUg,400,6,99932.69,24055,1
1/9LN1OrSzaDD/kPCUTyiw,400,6,90593.83,52958,2
IKaa+8tzVDE43XFqCpotDA,400,6,76447.84,20226,3
EfOkfN0T3KFXrV1RP4EUcQ,400,6,71982.88,18996,4
a09awzxNlRgPPctLvCY0Iw,400,6,69045.86,32637,5
7464,400,6,53444.48,29998,6
xfvnBTx+DDYPQo4LEqIpig,400,6,50491.32,18171,7
7v+zegG8bw/ixdNeF3O2bg,400,6,45190.22,9063,8
52hwdRyEiH9VhptDuo63Zg,400,6,38284.75,31494,9
n/DntLExSVkaHum95aGEew,400,6,37680.25,13022,10
O/ciahh+ksll2karu+6lkg,400,9,16543.47,8021,1
I4QYVu4WNHKJRuCvb/1Sgg,400,9,15341.98,9515,2
96xTEHXzPz6loTizAhN7tQ,400,9,12088.65,15667,3
X9pVudvQIgeyVW7rNfLhEA,400,9,11415.1,4614,4
d5vX2ZP04jECm5irm3dhEA,400,9,10756.9,7943,5
6jz1OfFcqPSBjCotMjvXjA,400,9,10517.3,20935,6
7v+zegG8bw/ixdNeF3O2bg,400,9,10126.0,3038,7
JNPjkwoenm41z8pR9gyaIw,400,9,10075.3,5865,8
ZrzuvppCFypvqJuF+9YnOA,400,9,9780.52,5750,9
D5OweSWinIZaEnAEkNGhOw,400,9,9778.1,11729,10
Y1GN+C+4r+aVdNGaKnJMLQ,500,6,7.5,1,1
K7nkgYY1HSi15AiF7/IrJg,500,6,0.0,1,2
kL6deQ4FdlRsAZVVLq4vaQ,500,6,0.0,1,3
mEZKb366P62x5+xClxzN3Q,500,6,-2.5,1,4
5LtDmBIq+ekWrSbrYrPT1Q,500,6,-5.0,1,5
ryfA1j9ZtBYzKa/nB1CSCw,500,9,1687.5,1,1
k7Fozl54XK5cafQZHjYbSw,500,9,-2.5,1,2
+LAy/6IXH26xXR9PwuWCSQ,500,9,-1685.0,1,3
kRxaO7e26vvJjaK3dfKLUg,600,6,81813.36,13460,1
EfOkfN0T3KFXrV1RP4EUcQ,600,6,80212.27,17679,2
QqgCmmW0eNl5TaHAisPkoA,600,6,74669.02,28276,3
Tc/cakQnthA7ihs2GNS5BA,600,6,62664.32,26692,4
IKaa+8tzVDE43XFqCpotDA,600,6,57779.57,10992,5
ioMapPXolV6CLQFRHwVAng,600,6,44163.68,16730,6
Y86D80BfhBU+dO3ZffQWuA,600,6,36162.36,20874,7
7OfleF+BZ8g6poItoMhFUA,600,6,35794.92,13636,8
imU9BwzAwocvFzUyYGZlxQ,600,6,32346.41,6739,9
ejXm9NvmzqbFahBIQCTZig,600,6,29466.05,9413,10
Ddci9w9HNbsjrtPZRaYvyw,600,9,16631.8,9747,1
wl34+lQmS4XvKT5nueFucw,600,9,14720.85,7464,2
lk3gF8fzokhaU7zsrNT3vQ,600,9,13552.35,8625,3
v6ingAaTOOzm/pXuEp1TWg,600,9,13089.53,1313,4
O/ciahh+ksll2karu+6lkg,600,9,10764.6,4508,5
L/YpLJ+SbXwevFB3WKhzHg,600,9,10079.95,2845,6
EBV6OktyeSmh4w6sWmcWOw,600,9,10015.8,3915,7
CDDG4VLvkeqB48NI40e6Xg,600,9,9704.2,3291,8
8+66Pu+SH19JNyB3NP7Lqg,600,9,9288.85,2532,9
GaHWa3Viv8U+aW5EaX45eQ,600,9,8955.55,8613,10
ACa4nnUM5wYHMWcwPPEHPA,1000,6,333128.98,48146,1
qVVq1HPPReIFJWh+V0awHQ,1000,6,202763.41,20135,2
0ItXTxnZQelA1OhcUh2TbA,1000,6,196382.11,45373,3
sC/GO0MaIRZgdZlbJQ+QLg,1000,6,90944.45,34018,4
KZYf/m67ngamrDUbt3b33g,1000,6,89281.21,16548,5
NDGahz9+vjce2OSm3COsVA,1000,6,87138.48,25523,6
imU9BwzAwocvFzUyYGZlxQ,1000,6,84402.11,18298,7
HNqVJje5LVZQTCQqxloR3g,1000,6,81531.45,13913,8
klgq1ADamwx2DOyVlJX2+g,1000,6,80380.28,44262,9
Pg0AogpiDGrRlOvcV+BjEA,1000,6,79284.35,56839,10
MLzG7q+R4XA5sNX/87TOIA,1000,9,27759.35,9627,1
Ddci9w9HNbsjrtPZRaYvyw,1000,9,27685.2,3601,2
tIwDK8LFaCC6lHL30WydFg,1000,9,27494.1,8269,3
GC3wAb64nieD1ifuFCJk1g,1000,9,24813.5,3521,4
oq3HDnubTaDYqGfWJ4IdBA,1000,9,21992.4,1337,5
giGAGNSn976MyVBddAvQDg,1000,9,21633.6,11356,6
2Gq0O27QL/mrmDpzVA78jQ,1000,9,18120.3,2772,7
0E/Y/7sardz4yEL/IeDNXg,1000,9,17978.85,4616,8
rx3FfBI4UbUxiCnQPiaT0Q,1000,9,17507.85,6833,9
OjJsY/o2A1tUGfTREA9ygg,1000,9,16435.68,3668,10
